region,school_name,closure_year,local_office,school_level,utilization_status,address,years_since_closure,closure_risk_index
gyeongbook,양북초등학교권이분교장,1992,경주,초,매각,경주시 문무대왕면 권이리 327-3,33,0.5377049180327867
gyeongbook,양북초등학교송전분교장,2010,경주,초,대부,경주시 문무대왕면 송전리 94,15,0.4983606557377048
gyeongbook,양북초등학교안동분교장,1996,경주,초,매각,경주시 문무대왕면 안동리 633-6,29,0.4852459016393441
gyeongbook,양북초등학교용동분교장,2007,경주,초,매각,경주시 문무대왕면 용동리 1148-3,18,0.34098360655737714
gyeongbook,양천초등학교,2019,김천,초,대부,김천시 양천동 1301-2,6,0.38032786885245917
gyeongbook,양포초등학교계원분교장,2005,포항,초,매각,포항시 남구 장기면 계원리 38,20,0.36721311475409846
gyeongbook,어모초등학교,2007,김천,초,대부,김천시 어모면 동좌리 619,18,0.5377049180327867
gyeongbook,연곡초등학교 서현분교장,1993,안동,초,매각,안동시 북후면 대현리 736,32,0.524590163934426
gyeongbook,연화초등학교,1994,김천,초,대부,김천시 대덕면 연화리 255,31,0.7081967213114756
gyeongbook,영덕야성초등학교매정분교장,2016,영덕,초,미활용,영덕군 영덕읍 매정리 88,9,0.5672131147540983
gyeongbook,영덕야성초등학교창포분교장,2015,영덕,초,자체활용,영덕군 영덕읍 창포리 550,10,0.3344262295081968
gyeongbook,영덕중학교 달산분교,2001,영덕,중,매각,영덕군 달산면 대지리 777-3,24,0.32131147540983607
gyeongbook,영도초등학교,1999,영천,초,대부,영천시 본촌동 335-2,26,0.6426229508196722
gyeongbook,영동초,1999,문경,초,매각,문경시 영순면 오룡리 467-1,26,0.4459016393442625
gyeongbook,영동초등학교동성분교장,1996,상주,초,매각,상주시 함창읍 하갈리 238,29,0.4852459016393441
gyeongbook,영북초등학교,2007,영천,초,자체활용,영천시 녹전동 127,18,0.43934426229508194
gyeongbook,영수초등학교,1993,상주,초,매각,상주시 공검면 중소리 576-2,32,0.524590163934426
gyeongbook,영순중,2009,문경,중,매각,문경시 영순면 사근리 845-1,16,0.2163934426229508
gyeongbook,영순초 영창분교,2008,문경,초,매각,문경시 영순면 말응리 524,17,0.3278688524590164
gyeongbook,영양중학교입암분교장,2019,영양,중,자체활용,영양군 입암면 산해리 48,6,0.18360655737704912
gyeongbook,영양초 감천분교장,1989,영양,초,매각,영양군 영양읍 감천리 724,36,0.5770491803278689
gyeongbook,영주부석고등학교,2008,영주,고,자체활용,영주시 부석면 소천리 501-1,17,0.2295081967213115
gyeongbook,영창중,2016,영천,중,매각,영천시 대창면 대창리 1028,9,0.12459016393442612
gyeongbook,영천남부초등학교,2012,영천,초,미활용,영천시 작산동 56,13,0.6196721311475409
gyeongbook,영해여자종합고등학교,2009,영덕,고,매각,영덕군 영해면 성내리 411,16,0.11803278688524588
gyeongbook,영해여자중학교,2009,영덕,중,매각,영덕군 영해면 성내리 411,16,0.2163934426229508
gyeongbook,영해초등학교 축산분교,2011,영덕,초,매각,영덕군 축산면 상원리 163-5,14,0.2885245901639344
gyeongbook,영해초등학교대동분교장,1997,영덕,초,대부,영덕군 영해면 대리 394-1,28,0.6688524590163935
gyeongbook,영해초등학교영해동부분교장,2009,영덕,초,대부,영덕군 영해면 괴시리 490,16,0.5114754098360655
gyeongbook,영화초등학교화덕분교장,2020,영천,초,미활용,영천시 화산면 덕암리 140-2,5,0.5147540983606557
gyeongbook,예산초등학교,2012,구미,초,자체활용,구미시 선산읍 북산리 587,13,0.3737704918032788
gyeongbook,예천남부초 신당분교,2008,예천,초,매각,예천군 호명면 내신리 347,17,0.3278688524590164
gyeongbook,예천남부초 호명분교,2000,예천,초,매각,예천군 호명면 백송리 59,25,0.4327868852459018
gyeongbook,예천남부초등학교인포분교장,2009,예천,초,자체활용,예천군 호명읍 월포리 382,16,0.41311475409836085
gyeongbook,예천동부초 보문분교,2008,예천,초,매각,예천군 보문면 수계리 658-1,17,0.3278688524590164
gyeongbook,예천종고,1998,예천,고,매각,예천군 예천읍 청복리 947-1,27,0.2622950819672132
gyeongbook,오계초등학교,2001,영주,초,자체활용,영주시 안정면 오계리 525,24,0.5180327868852458
gyeongbook,오룡초등학교,1999,안동,초,매각,안동시 와룡면 감애리 434,26,0.4459016393442625
gyeongbook,오류초,1982,영천,초,매각,영천시 고경면 오류리 631,43,0.6688524590163935
